"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","","","Module_RaspberryPi_Pico:RaspberryPi_Pico_Common","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C1,C2,C4","3","100nf","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C3,C5,C6","3","100uf","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C7","1","10nf","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C9","1","1000uf","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"Cutoff1,Delay1,Resonance1","3","10K","","","","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~"
"J1","1","Sync_In","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J2","1","Output","","","","Connector_Audio:Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles","~"
"J3","1","Conn_01x02_Socket","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"level1","1","50K","","","","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~"
"R1","1","3.3K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3","1","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16","16","~","","","","Button_Switch_Keyboard:SW_Cherry_MX_1.00u_PCB","~"
"SW17,SW18","2","SW_SPDT","","","","MyProject:SW_SPDT_Toggle_QuarterInch_Bushing","~"
"U1","1","TFT_2.8in_ILI9341","","","","MyProject:TFT_2.8in_ILI9341",""
